file,gt_emotion,audio_emotion,audio_conf,video_emotion,video_confidence,fused_prediction,eri_score,eri_level,fusion_source
1001_IOM_DIS_XX,disgust,disgust,0.768,disgust,0.973,disgust,0.97,HIGH,fusion
1001_TIE_HAP_XX,happy,happy,0.814,happy,0.982,happy,1.0,HIGH,fusion
1001_IWW_ANG_XX,angry,angry,0.836,angry,0.827,angry,0.93,HIGH,fusion
1001_MTI_SAD_XX,sad,sad,0.777,sad,0.874,sad,0.93,HIGH,fusion
1001_ITH_ANG_XX,angry,angry,0.903,angry,0.965,angry,1,HIGH,fusion
1001_ITH_SAD_XX,sad,sad,0.751,sad,0.915,sad,0.93,HIGH,fusion
1001_DFA_DIS_XX,disgust,disgust,0.976,disgust,0.885,disgust,1,HIGH,fusion
1001_MTI_HAP_XX,happy,happy,0.972,happy,0.86,happy,1,HIGH,fusion
1001_MTI_NEU_XX,neutral,neutral,0.328,neutral,0.98,neutral,0.75,HIGH,fusion
1001_MTI_FEA_XX,fear,fear,0.755,fear,0.897,fear,0.93,HIGH,fusion
1001_IWL_FEA_XX,fear,fear,0.904,fear,0.94,fear,1,HIGH,fusion
1001_DFA_ANG_XX,angry,angry,0.781,angry,0.878,angry,0.93,HIGH,fusion
1001_TSI_HAP_XX,happy,happy,0.841,happy,0.923,happy,0.98,HIGH,fusion
1001_IWW_NEU_XX,neutral,neutral,0.92,neutral,0.973,neutral,1,HIGH,fusion
1001_ITH_DIS_XX,disgust,disgust,0.889,disgust,0.819,disgust,0.95,HIGH,fusion
1001_TIE_FEA_XX,fear,fear,0.876,fear,0.896,fear,0.99,HIGH,fusion
1001_ITS_DIS_XX,disgust,disgust,0.818,disgust,0.946,disgust,0.98,HIGH,fusion
1001_TSI_DIS_XX,disgust,disgust,0.846,disgust,0.929,disgust,0.99,HIGH,fusion
1001_IWW_FEA_XX,fear,fear,0.759,fear,0.931,fear,0.94,HIGH,fusion
1001_DFA_FEA_XX,fear,fear,0.876,fear,0.809,fear,0.94,HIGH,fusion
1001_ITS_HAP_XX,happy,happy,0.896,happy,0.975,happy,1,HIGH,fusion
1001_TIE_DIS_XX,disgust,disgust,0.854,disgust,0.834,disgust,0.94,HIGH,fusion
1001_IEO_DIS_HI,disgust,angry,0.352,disgust,0.821,angry,0.69,MODERATE,fusion
1001_IEO_ANG_LO,angry,angry,0.829,angry,0.902,angry,0.97,HIGH,fusion
1001_IEO_ANG_HI,angry,angry,0.872,angry,0.983,angry,1,HIGH,fusion
1001_IEO_SAD_HI,sad,sad,0.848,sad,0.921,sad,0.98,HIGH,fusion
1001_IOM_HAP_XX,happy,happy,0.951,happy,0.929,happy,1,HIGH,fusion
1001_IWW_HAP_XX,happy,happy,0.858,happy,0.828,happy,0.94,HIGH,fusion
1001_IWW_SAD_XX,sad,sad,0.806,sad,0.856,sad,0.93,HIGH,fusion
1001_IEO_DIS_LO,disgust,disgust,0.877,angry,0.434,disgust,0.76,HIGH,fusion
1001_IWL_HAP_XX,happy,happy,0.941,happy,0.91,happy,1,HIGH,fusion
1001_ITH_FEA_XX,fear,fear,0.769,fear,0.971,fear,0.97,HIGH,fusion
1001_ITS_FEA_XX,fear,fear,0.941,fear,0.903,fear,1,HIGH,fusion
1001_IOM_ANG_XX,angry,angry,0.94,angry,0.942,angry,1,HIGH,fusion
1001_DFA_NEU_XX,neutral,neutral,0.964,neutral,0.859,neutral,1,HIGH,fusion
1001_IOM_SAD_XX,sad,sad,0.924,sad,0.938,sad,1,HIGH,fusion
1001_IWW_DIS_XX,disgust,disgust,0.928,disgust,0.829,disgust,0.98,HIGH,fusion
1001_TSI_FEA_XX,fear,fear,0.374,fear,0.919,fear,0.75,HIGH,fusion
1001_DFA_SAD_XX,sad,sad,0.951,sad,0.967,sad,1,HIGH,fusion
1001_IEO_NEU_XX,neutral,neutral,0.95,neutral,0.863,neutral,1,HIGH,fusion
1001_IEO_FEA_HI,fear,fear,0.923,fear,0.822,fear,0.97,HIGH,fusion
1001_IEO_SAD_MD,sad,sad,0.923,sad,0.803,sad,0.96,HIGH,fusion
1001_IEO_HAP_HI,happy,happy,0.852,happy,0.804,happy,0.93,HIGH,fusion
1001_IEO_FEA_MD,fear,fear,0.766,fear,0.941,fear,0.95,HIGH,fusion
1001_IEO_FEA_LO,fear,fear,0.895,fear,0.905,fear,1,HIGH,fusion
1001_IEO_HAP_LO,happy,happy,0.977,happy,0.807,happy,0.99,HIGH,fusion
1001_IEO_DIS_MD,disgust,disgust,0.825,angry,0.34,disgust,0.68,MODERATE,fusion
1001_IEO_HAP_MD,happy,neutral,0.312,sad,0.332,neutral,0.42,MODERATE,fusion
1001_DFA_HAP_XX,happy,happy,0.93,happy,0.864,happy,1.0,HIGH,fusion
1001_IEO_SAD_LO,sad,disgust,0.511,sad,0.979,sad,0.59,MODERATE,video
1002_ITH_DIS_XX,disgust,disgust,0.884,disgust,0.966,disgust,1,HIGH,fusion
1002_ITH_FEA_XX,fear,fear,0.76,surprise,0.39,fear,0.67,MODERATE,fusion
1002_IWL_DIS_XX,disgust,disgust,0.79,happy,0.452,disgust,0.47,MODERATE,audio
1002_IEO_FEA_HI,fear,fear,0.79,fear,0.853,fear,0.92,HIGH,fusion
1002_IWL_FEA_XX,fear,fear,0.756,fear,0.887,fear,0.92,HIGH,fusion
1002_IEO_DIS_LO,disgust,disgust,0.906,disgust,0.827,disgust,0.97,HIGH,fusion
1002_IEO_HAP_LO,happy,happy,0.893,happy,0.877,happy,0.98,HIGH,fusion
1002_ITH_ANG_XX,angry,angry,0.79,angry,0.932,angry,0.96,HIGH,fusion
1002_IOM_ANG_XX,angry,angry,0.956,angry,0.851,angry,1,HIGH,fusion
1002_ITS_DIS_XX,disgust,disgust,0.786,disgust,0.858,disgust,0.92,HIGH,fusion
1002_IEO_DIS_HI,disgust,disgust,0.932,disgust,0.889,disgust,1,HIGH,fusion
1002_IEO_ANG_MD,angry,angry,0.824,angry,0.835,angry,0.93,HIGH,fusion
1002_IOM_DIS_XX,disgust,disgust,0.974,disgust,0.833,disgust,1,HIGH,fusion
1002_ITH_HAP_XX,happy,happy,0.879,happy,0.96,happy,1,HIGH,fusion
1002_IWL_HAP_XX,happy,happy,0.978,happy,0.973,happy,1,HIGH,fusion
1001_WSI_ANG_XX,angry,angry,0.853,angry,0.86,angry,0.96,HIGH,fusion
1002_IOM_SAD_XX,sad,sad,0.959,sad,0.939,sad,1,HIGH,fusion
1002_IEO_SAD_HI,sad,sad,0.82,sad,0.864,sad,0.94,HIGH,fusion
1002_IEO_ANG_HI,angry,angry,0.862,angry,0.958,angry,1,HIGH,fusion
1002_ITH_SAD_XX,sad,neutral,0.338,sad,0.808,neutral,0.67,MODERATE,fusion
1001_WSI_NEU_XX,neutral,neutral,0.909,neutral,0.945,neutral,1,HIGH,fusion
1002_ITS_ANG_XX,angry,angry,0.935,angry,0.918,angry,1,HIGH,fusion
1002_DFA_FEA_XX,fear,happy,0.403,fear,0.843,fear,0.51,MODERATE,video
1001_WSI_DIS_XX,disgust,disgust,0.968,disgust,0.883,disgust,1,HIGH,fusion
1002_IEO_DIS_MD,disgust,disgust,0.796,disgust,0.845,disgust,0.92,HIGH,fusion
1002_ITS_SAD_XX,sad,sad,0.865,sad,0.969,sad,1,HIGH,fusion
1002_IEO_FEA_LO,fear,fear,0.876,fear,0.922,fear,1.0,HIGH,fusion
1002_IEO_NEU_XX,neutral,neutral,0.806,neutral,0.87,neutral,0.94,HIGH,fusion
1002_IWL_ANG_XX,angry,angry,0.947,angry,0.854,angry,1,HIGH,fusion
1002_DFA_DIS_XX,disgust,disgust,0.818,disgust,0.984,disgust,1,HIGH,fusion
1001_TSI_SAD_XX,sad,sad,0.899,sad,0.957,sad,1,HIGH,fusion
1002_IOM_FEA_XX,fear,fear,0.854,fear,0.831,fear,0.94,HIGH,fusion
1002_DFA_ANG_XX,angry,angry,0.899,angry,0.896,angry,1.0,HIGH,fusion
1002_DFA_NEU_XX,neutral,neutral,0.91,neutral,0.872,neutral,0.99,HIGH,fusion
1002_IEO_HAP_HI,happy,happy,0.966,happy,0.805,happy,0.99,HIGH,fusion
1002_ITH_NEU_XX,neutral,neutral,0.857,neutral,0.978,neutral,1,HIGH,fusion
1002_IEO_ANG_LO,angry,angry,0.971,angry,0.981,angry,1,HIGH,fusion
1002_ITS_HAP_XX,happy,happy,0.951,happy,0.985,happy,1,HIGH,fusion
1001_TSI_NEU_XX,neutral,neutral,0.883,neutral,0.847,neutral,0.96,HIGH,fusion
1002_IEO_SAD_MD,sad,sad,0.793,sad,0.887,sad,0.94,HIGH,fusion
1002_ITS_FEA_XX,fear,fear,0.842,fear,0.891,fear,0.97,HIGH,fusion
1002_DFA_SAD_XX,sad,sad,0.848,sad,0.846,sad,0.95,HIGH,fusion
1002_IOM_NEU_XX,neutral,neutral,0.975,neutral,0.98,neutral,1,HIGH,fusion
1002_DFA_HAP_XX,happy,happy,0.97,neutral,0.468,happy,0.82,HIGH,fusion
1001_WSI_HAP_XX,happy,happy,0.832,happy,0.964,happy,1.0,HIGH,fusion
1001_WSI_FEA_XX,fear,fear,0.935,fear,0.869,fear,1,HIGH,fusion
1002_IEO_FEA_MD,fear,fear,0.766,fear,0.856,fear,0.91,HIGH,fusion
1002_ITS_NEU_XX,neutral,neutral,0.836,neutral,0.939,neutral,0.99,HIGH,fusion
1002_IEO_HAP_MD,happy,happy,0.97,happy,0.971,happy,1,HIGH,fusion
1001_WSI_SAD_XX,sad,sad,0.975,sad,0.855,sad,1,HIGH,fusion
1002_IEO_SAD_LO,sad,sad,0.811,sad,0.882,sad,0.95,HIGH,fusion
1002_IOM_HAP_XX,happy,happy,0.762,happy,0.989,happy,0.98,HIGH,fusion
